app_id,type,status,reference,count
com.protectimus.totpburner.nfc,netloc,FP,easylist,12
com.protectimus.totpburner.nfc,netloc,FP,easyprivacy,17
com.protectimus.totpburner.nfc,netloc,TP,easylist,5
oracle.idm.mobile.authenticator,netloc,FP,easylist,1
vn.funtap.smartotp,netloc,FP,easylist,1
vn.funtap.smartotp,netloc,FP,easyprivacy,1
com.scrignosa,netloc,FP,easylist,3
com.scrignosa,netloc,FP,easyprivacy,3
com.azure.authenticator,netloc,FP,easyprivacy,4
com.azure.authenticator,netloc,FP,easylist,4
com.sgn.sgotp,netloc,TP,easylist,1
com.sgn.sgotp,netloc,TP,easyprivacy,1
com.feelanet.artstrongid.sec,netloc,FP,easyprivacy,1
com.sgn.sgotp.lotte,netloc,TP,easylist,1
com.sgn.sgotp.lotte,netloc,TP,easyprivacy,1
oracle.idm.mobile.authenticator,netloc,FP,easyprivacy,1
com.protectimus.android,netloc,FP,easyprivacy,1
com.bankofamerica.authenticator,netloc,FP,easyprivacy,1
com.protectimus.android,netloc,FP,easylist,1
otl.snkl.SnorkelOTP,netloc,FP,easyprivacy,1
com.novoload.otp,netloc,TP,easylist,1
otl.snkl.SnorkelOTP,netloc,FP,easylist,1
com.bncr.detectid_otp,netloc,FP,easyprivacy,1
com.bncr.detectid_otp,netloc,FP,easylist,1
com.pacifico.pacificid,netloc,FP,easylist,1
com.novoload.otp,netloc,FP,easyprivacy,1
com.pacifico.pacificid,netloc,FP,easyprivacy,1
kr.co.neople.neopleotp,url,FP,easylist,1
vn.funtap.smartotp,url,FP,easyprivacy,1
otl.snkl.SnorkelOTP,url,FP,easyprivacy,1
otl.snkl.SnorkelOTP,url,FP,easylist,1
vn.savis.smartid,url,FP,easylist,1
netinfo.eu.symantec,url,FP,easyprivacy,1
vietcombank.itcenter.vcbsmartoptv10,url,FP,easylist,17
nh.smart.signone,url,FP,easylist,1
kr.kjun.NaverSetup,url,FP,easyprivacy,4
vn.savis.smartid,url,FP,easyprivacy,1
kr.co.neople.neopleotp,url,FP,easyprivacy,1
jp.konami.android.otp_token,url,FP,easylist,1
netinfo.eu.symantec,url,FP,easylist,1
vietcombank.itcenter.vcbsmartoptv10,url,FP,easyprivacy,17
vn.com.sacombank.msign,url,FP,easylist,66
jp.konami.android.otp_token,url,FP,easyprivacy,1
kr.or.kftc.fsc,url,FP,easyprivacy,3
ua.com.cs.ifobs.mobile.android.otp,url,FP,easyprivacy,2
ua.com.cs.ifobs.mobile.android.otp,url,FP,easylist,2
kr.kjun.NaverSetup,url,FP,easylist,4
ru.yandex.key,url,FP,easylist,6
